188.22	127.89	96.444	65.889	54.222	58.889	65.111	141.11	92.222	94.667	56.667	79.889	184.44	225.44	200.56	183.78	188.22
175.78	99.778	87.556	66.111	54.556	54.556	78	122.89	96.222	70.222	58.778	94.889	203.56	228	201	182.67	175.78
157.33	87.778	84	65	49.889	44.222	82.889	104.89	92.778	61.111	59	91	197.78	232.33	195.22	180.33	157.33
171	138	133.22	72.778	50.889	42.111	79.111	98.667	94.667	69	59.333	63	171.22	213.56	188.89	186.33	171
155.78	135.78	138.67	75.889	49	44	83	86.222	94.556	68.333	56.889	61.444	164.11	198.33	184.89	177.44	155.78
145.89	127.11	140.56	83.667	50.556	48.333	82	81.222	95.556	69.778	56.222	60.444	155	180.56	181.44	168.56	145.89
126.56	111.11	121.22	84.222	56.444	50	81.667	76.556	93.444	74.111	54.667	62.667	141.78	151.89	170.67	149.33	126.56
144.33	113.78	110.67	83.667	59.111	52.778	80.222	84.889	89.778	85.444	52	63.111	147.89	147.56	179.78	154.89	144.33
135.67	100	89.889	72.333	65.778	56.556	77.222	82.111	91.111	88.556	53.778	66.444	143.78	136.78	171.89	145.44	135.67
111.44	91.889	74.667	55.444	79.111	61.333	72.222	85.111	77.778	83.778	59.889	75.667	136.44	121.11	157.22	123.56	111.44
87.333	99.333	83.111	54.889	89.444	66	59.667	81.444	75.778	80.889	57	67.889	94.111	92.222	125.67	93.889	87.333
87.889	98.333	85.444	58.111	88.889	68.444	57.333	99.444	74	76.222	55.111	62.333	74.444	93.222	122.56	101.78	87.889
138	113.33	87.556	66.889	84.222	64.556	54.111	120.78	83	74.889	56.222	61.778	70.556	114.33	144.89	137	138
142.56	81.778	77.556	82.222	65.889	52.222	53.556	107.67	91.889	66.444	56.111	67.111	69.667	100.22	128.11	111.33	142.56
158	85.333	79.889	84.444	63	47.444	53.111	98.778	86.222	66.556	56.444	72	78.889	111	140.56	115.33	158
125.67	68.111	71.222	103.67	61.667	51	65.222	89.556	75.111	63.778	64.222	70.778	82.333	94.444	132.11	107	125.67
129.56	77.556	81.556	101.78	62.111	56.111	74.444	86.333	72	80	53.667	61.111	78.778	92.333	140.67	141.56	129.56
90.667	70.444	74	80.556	57.556	66.111	69.111	90.889	63	78.333	51.222	61.667	68.556	63.556	99.889	130.22	90.667
82.111	85	81.111	85.222	70.556	70.778	56.667	88.111	63.667	91.111	52	85.556	71.667	58.222	84.222	105.33	82.111
101.78	96.222	81.333	87.444	76.778	62.111	59.333	90.778	71.444	77.111	62.111	97.778	54.778	59.444	116.78	102.67	101.78
121.44	94.444	101.89	92.444	90.111	64.111	80.778	88.778	74.111	53.667	75.333	106.22	65.333	54.222	113.44	91.333	121.44
136	100.67	131.44	103.44	92	62.444	84.556	79	83.333	61.556	100	95.889	81.556	56.889	108.11	98.111	136
158.44	110.11	154.56	111.11	90.444	60.889	84.556	79.556	90.333	78.667	110	84.778	73.778	68.333	109.44	117.33	158.44
158.44	114.33	162.56	110.44	84.889	58.778	79.556	78.889	84.889	101.56	109.11	76.556	58.667	72.778	104.44	133.11	158.44
151.78	145.67	202	117.78	90.444	74.333	70.889	80.333	74.667	112.89	103.33	89.333	46.889	55.111	105.11	147.89	151.78
149.11	185.56	235.33	140.33	129.78	91.889	66.444	78	74	125.33	92.444	110.89	53.111	51.556	95.667	145.89	149.11
