131.67	107.33	124.78	133.89	132.44	134.44	135.22	141.33	139.44	144.44	138.67	137.67	135.89	135.11	131.67	128.56	126.78	126.22	125	125.89	131.67
142.11	120	127.89	133.78	133	135.89	135.22	139.33	139.22	143.56	137.89	137.33	135.44	133.44	131.22	129.44	128	125.67	125.11	126.11	142.11
137.33	145.56	128.56	134	132.67	137.33	134.44	139.89	139.22	143.67	139.11	138.22	134.44	134.22	132.89	128.56	125.89	125.89	126.67	126	137.33
104.33	132.22	127.78	134	134.67	135.67	134.67	140.33	139.78	143.89	137.67	138.11	134.56	133.33	132.89	130.33	126.33	126.67	126.56	123.33	104.33
113.56	127.33	127.78	131.89	134.67	135.89	135.33	140.67	140.56	143.44	138.44	137.78	135.56	133.67	130.89	128.11	127.22	126.44	127.89	136.33	113.56
138.44	130.89	129.89	132.78	134.22	137.67	134.67	140.22	139.11	142.89	137.67	137.89	135.67	133.78	132.22	130	128.33	124	127	142.89	138.44
147	130.44	128.22	133	132.56	136	136.44	139.89	140.11	143.11	137.56	137.67	134.78	133.78	132.22	127.33	127.78	125.67	122.89	117.22	147
127	130.78	128.67	132.78	132.67	136.56	135	140.11	139	144.11	137.78	137.44	134.89	133.33	131.33	128.33	128	126.67	130.11	104.89	127
127.89	131.22	127.44	132.78	133.67	136.11	134.67	140.44	139.67	143.22	138.44	137.89	133.67	133.78	131.33	128.67	128	125.89	146.22	114.89	127.89
129.89	131.11	127.56	133.78	134.22	136.22	134.67	141.11	139	143.67	138.67	136.56	133.44	134	131.56	128.67	127.56	123.89	117.56	134.67	129.89
129.44	131.78	129.11	132.78	134.11	135.67	134.11	141	139.11	143.22	137.78	136	135.11	133.22	131.89	127.44	127	135.89	102.11	136.44	129.44
130.67	130.56	128.11	133.89	134.67	137.11	133.44	140.89	139	143.89	138.44	136.89	133.11	133.44	132.11	128.44	127.78	140.89	118.11	123.78	130.67
129.44	131.33	128.11	133.78	133	135.78	135.44	141	139.44	143.67	137.89	136.67	134	132.56	130	129.44	125.11	104.78	137.78	126	129.44
128.67	129	128.44	134.22	134	136.33	134.56	140.33	139.67	143.89	137.44	135.89	135.33	133.22	132	129.33	143.11	108.44	131.89	125.78	128.67
129.33	129.67	129	132.44	135.22	137.11	134.56	140.44	139.22	142.67	137.78	137.78	134	132.78	131.89	127.56	140.67	121	123.89	127.11	129.33
130	130.44	128.44	133	134	136.89	134.44	139.78	138.78	143.33	138.44	137.22	135.33	133	131.44	124.33	117	130.67	127.56	126.11	130
130.33	130.44	128.78	133	133.78	137	134.67	139.11	138.56	143	138.11	137.22	135.56	134.11	131.78	138.11	109.67	139.89	125.56	127.11	130.33
