Frame 	X_1 	Y_1 	nX_1 	nY_1 	Disp 	Ori_Disp 	Radius_1 
198.000000	96.841312	89.667150	-1.757260	-2.284654	1.009955	2.882292	19.993578	
199.000000	96.010362	89.397496	-2.588209	-2.554308	0.873608	3.636388	19.999258	
200.000000	96.216369	89.181803	-2.382202	-2.770001	0.298265	3.653463	19.961816	
201.000000	96.795548	88.798472	-1.803024	-3.153332	0.694544	3.632409	19.975034	
202.000000	96.320668	88.767896	-2.277903	-3.183908	0.475863	3.914858	19.942879	
203.000000	95.190030	89.243745	-3.408541	-2.708059	1.226693	4.353359	19.975237	
204.000000	95.740677	88.477482	-2.857894	-3.474322	0.943595	4.498719	19.974219	
205.000000	95.453857	89.510498	-3.144714	-2.441306	1.072095	3.981105	19.940734	
206.000000	95.306367	89.511982	-3.292204	-2.439822	0.147498	4.097724	19.895142	
207.000000	95.290539	89.946735	-3.308032	-2.005069	0.435042	3.868253	19.957766	
208.000000	95.587092	90.531212	-3.011479	-1.420592	0.655406	3.329728	19.981784	
209.000000	95.439247	90.431962	-3.159324	-1.519842	0.178069	3.505888	19.930931	
210.000000	94.888501	90.028378	-3.710070	-1.923426	0.682789	4.179017	19.993153	
211.000000	95.603538	90.469922	-2.995033	-1.481882	0.840380	3.341586	19.980377	
212.000000	95.712037	91.716630	-2.886535	-0.235174	1.251421	2.896099	19.942907	
213.000000	96.421048	92.334468	-2.177524	0.382664	0.940436	2.210891	19.953135	
214.000000	96.137703	93.285816	-2.460868	1.334012	0.992647	2.799189	19.930663	
215.000000	96.102588	93.283729	-2.495984	1.331925	0.035178	2.829127	19.899570	
216.000000	96.208284	93.396474	-2.390287	1.444670	0.154542	2.792946	19.889994	
217.000000	95.730351	93.143261	-2.868221	1.191457	0.540867	3.105843	19.853143	
218.000000	95.803185	92.755833	-2.795386	0.804030	0.394214	2.908719	19.893364	
219.000000	96.329834	93.261150	-2.268738	1.309346	0.729865	2.619457	19.958352	
220.000000	96.409179	92.717735	-2.189392	0.765931	0.549177	2.319502	19.911579	
221.000000	95.711485	92.091919	-2.887086	0.140115	0.937242	2.890484	19.905908	
222.000000	95.150918	92.220022	-3.447653	0.268218	0.575018	3.458071	19.950087	
223.000000	94.824319	93.031225	-3.774252	1.079421	0.874481	3.925574	19.882189	
224.000000	94.988260	93.239151	-3.610311	1.287347	0.264783	3.832963	19.901250	
225.000000	94.387121	93.414616	-4.211450	1.462812	0.626224	4.458266	19.900311	
226.000000	94.802249	93.539272	-3.796322	1.587468	0.433441	4.114865	19.870590	
227.000000	95.787846	94.370615	-2.810725	2.418811	1.289392	3.708210	19.857994	
228.000000	96.140176	94.644604	-2.458395	2.692800	0.446326	3.646214	19.813717	
229.000000	96.110187	93.837212	-2.488384	1.885408	0.807948	3.121990	19.845861	
230.000000	95.958924	94.091157	-2.639647	2.139353	0.295581	3.397730	19.858388	
231.000000	95.523731	93.699009	-3.074840	1.747205	0.585810	3.536576	19.798482	
232.000000	95.918441	94.365387	-2.680130	2.413583	0.774503	3.606727	19.792099	
233.000000	96.199189	94.726462	-2.399382	2.774658	0.457378	3.668210	19.788696	
234.000000	95.936523	94.129057	-2.662049	2.177253	0.652600	3.439031	19.701667	
235.000000	95.803146	93.808375	-2.795425	1.856571	0.347313	3.355779	19.737800	
236.000000	96.050292	93.875397	-2.548279	1.923593	0.256072	3.192795	19.677928	
237.000000	96.524691	94.731959	-2.073880	2.780155	0.979159	3.468464	19.672039	
238.000000	96.295806	95.315711	-2.302766	3.363907	0.627021	4.076592	19.685630	
239.000000	96.527187	95.620372	-2.071385	3.668568	0.382564	4.212959	19.691960	
240.000000	96.636262	95.629877	-1.962309	3.678073	0.109489	4.168798	19.654689	
241.000000	95.548664	95.353596	-3.049908	3.401792	1.122142	4.568821	19.702796	
242.000000	96.001322	95.330472	-2.597249	3.378669	0.453249	4.261585	19.711197	
243.000000	95.459353	95.831270	-3.139218	3.879466	0.737922	4.990486	19.686843	
244.000000	95.367180	96.627990	-3.231392	4.676186	0.802034	5.684067	19.727636	
245.000000	95.604998	96.674314	-2.993573	4.722510	0.242288	5.591385	19.649163	
246.000000	96.093713	96.748197	-2.504859	4.796393	0.494267	5.411072	19.701916	
247.000000	96.483354	96.204650	-2.115217	4.252846	0.668778	4.749825	19.638422	
248.000000	97.119221	96.285407	-1.479350	4.333603	0.640975	4.579148	19.712667	
249.000000	97.312889	95.938358	-1.285682	3.986554	0.397430	4.188746	19.618383	
250.000000	97.181794	95.922814	-1.416778	3.971010	0.132013	4.216181	19.608031	
251.000000	96.498385	96.015794	-2.100186	4.063990	0.689705	4.574581	19.528033	
252.000000	96.796642	95.709527	-1.801929	3.757723	0.427500	4.167425	19.578279	
253.000000	96.717860	95.681116	-1.880711	3.729312	0.083748	4.176703	19.535099	
254.000000	97.425936	95.939919	-1.172636	3.988115	0.753890	4.156938	19.583553	
255.000000	98.317914	96.041534	-0.280657	4.089730	0.897748	4.099349	19.538999	
256.000000	98.403414	95.971436	-0.195157	4.019632	0.110562	4.024366	19.566595	
257.000000	98.731907	96.508035	0.133336	4.556231	0.629164	4.558182	19.570138	
258.000000	99.452008	96.350279	0.853436	4.398475	0.737178	4.480506	19.643096	
259.000000	99.119607	96.408989	0.521036	4.457186	0.337546	4.487536	19.657232	
260.000000	98.969708	95.848340	0.371137	3.896536	0.580342	3.914171	19.655994	
261.000000	98.849720	96.597392	0.251149	4.645588	0.758601	4.652372	19.756171	
262.000000	99.229577	95.416102	0.631005	3.464299	1.240861	3.521297	19.793332	
263.000000	99.031715	95.399898	0.433144	3.448094	0.198524	3.475193	19.782146	
264.000000	99.569649	94.696705	0.971078	2.744901	0.885355	2.911610	19.806147	
265.000000	99.564985	94.298661	0.966413	2.346857	0.398071	2.538049	19.767690	
266.000000	99.827555	95.549390	1.228984	3.597586	1.277993	3.801713	19.850147	
267.000000	99.538765	94.997046	0.940194	3.045242	0.623284	3.187077	19.796123	
268.000000	98.724369	94.490299	0.125798	2.538495	0.959184	2.541610	19.822607	
269.000000	98.247637	94.212635	-0.350934	2.260831	0.551697	2.287906	19.857514	
270.000000	98.540955	95.004663	-0.057616	3.052859	0.844597	3.053403	19.869130	
271.000000	98.636119	94.982392	0.037548	3.030588	0.097735	3.030821	19.863222	
272.000000	98.383374	94.860969	-0.215198	2.909165	0.280399	2.917114	19.865726	
273.000000	98.575347	95.551160	-0.023224	3.599357	0.716392	3.599431	19.896864	
274.000000	98.963007	95.175443	0.364436	3.223639	0.539856	3.244173	19.913400	
275.000000	99.082873	94.241489	0.484301	2.289685	0.941614	2.340343	19.892844	
276.000000	98.363581	93.767572	-0.234990	1.815768	0.861382	1.830911	19.910761	
277.000000	98.786278	93.815011	0.187706	1.863207	0.425351	1.872638	19.927091	
278.000000	98.656923	93.722464	0.058351	1.770660	0.159053	1.771621	19.993534	
